term_str,PC0,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
machine,-0.04563735259549233,-0.024924997225772502,0.014840378234246273,0.08629136353732345,-0.025147791408567956,-0.017362683486357083,-0.003818224192958783,0.061776919371608285,0.00019762315064612845,-0.004203480832298835
machining,-0.06290292257636028,-0.05891992261748691,-0.029480523487260126,0.1189864162207846,-0.09159375577176948,-0.06412513188259505,-0.13426146493136032,0.11388449961973574,0.017413853585794448,-0.07036437820144054
variety,0.005176885377291407,-0.0028489757163930674,0.007744106991905945,0.013204875378800753,-0.02352193835967943,-0.01681394799343383,0.0019737910088697963,-0.0024589287783539915,-0.011057310054297914,-0.019431747485461504
material,-0.024186116058174435,0.03038299951626145,-0.0032512593529046784,-0.017913320926101192,-0.012405424405861908,-0.02418570182440405,-0.007816543588738178,0.00018204700357507542,-0.1092412848984714,-0.013171582647386274
systems,0.036395208931674305,-0.020801181645695006,0.039442626261944995,0.057654865118132934,0.011228238497151353,-0.030175851197248305,-0.037752720351359736,-0.08239598124631331,0.05089997216341734,0.020832701693415098
cast,-0.0842238936840347,-0.021901272077462047,-0.01389927855332787,0.008506905254385064,0.009901826836554507,0.043008977571624196,0.018306619087810713,-0.021554951388890603,0.07935110327571816,-0.03156743935783707
part,-0.03219970304740283,-0.009573484748727606,-0.02622204734458338,0.0350716171638245,-0.021415372836540932,0.020097811280750694,0.001649319566522943,-0.0016617925352652163,0.00198762405084027,0.028136017076804756
facility,-0.007004380610217717,-0.024746804178278035,0.011831207814743838,0.010124582497736073,-0.009149786474425188,-0.02981092373806689,-0.03546487318691317,0.0005433660266961765,0.004431844349160094,-0.007333105771740643
castings,-0.18680176949946217,0.1293070621051874,-0.13733090154556188,0.12505750701121865,-0.08633415054940573,5.02301310471992e-05,0.07012185935995827,-0.05114076971960762,-0.06639710048481612,-0.03196825787580136
requirements,-0.005953795952848338,-0.013829238993809828,0.006387343988084855,0.0035528095715552928,-0.001276108322338016,-0.02312556875559563,-0.018777160423499,0.007603449064573199,-0.00367217900804518,0.0078022261041346755
work,-0.02713585235102054,0.014626600507318673,0.012123567816064454,0.04815739070673832,0.007974200280942484,-0.0078096052181387664,-0.0028746457791990385,0.013000293601706644,0.02689623748977119,-0.02400583875153721
address,0.026245550829101044,-0.025605833311056824,-0.008726346876325772,0.026971981001745533,0.010938535367932791,0.07311066430840024,0.026434133463687427,0.05079772584831622,-0.00786761382275486,0.030748616929920612
operations,-0.01613603807831678,-0.03081575252374602,-0.0005656735785044992,0.018266369521591327,-0.006557830704351141,0.022155936885271295,-0.00625989928520063,-0.020613556636674506,0.011411975500033951,-0.007217857576921574
form,0.009883855514027089,-0.00029211294511425733,-0.012407505030707366,-0.0015044515672616335,0.003589998118948151,0.015930879042166224,0.00024207274307074908,0.016434307388968825,-0.04587767834564623,-0.0025999787308116223
applications,0.0014685922498331831,-0.018152457004773317,-0.010758354060346994,-0.013096019062317225,-0.026433279864392742,-0.014905858490589988,0.007999876168721711,-0.037004953841070706,-0.001834477828679426,0.009858804996256867
aluminum,-0.1753616748860713,-0.029820202479888386,-0.18479148590003106,0.025624533985520205,-0.06922789809231658,0.029748522832171626,0.04230681735514962,-0.07342708180480365,-0.005002249552612975,0.07347126568699558
alloys,-0.0996782247657484,-0.0508882888201908,-0.1322213945844523,-0.09467767733796102,-0.0007441047976669599,-0.13083709311676864,0.0838617258069435,-0.03962288671606228,-0.060047048173658954,0.15060096730835174
capabilities,-0.02802746153136429,-0.03343779978951928,-0.011564712362259595,0.04136610751464827,-0.0334957762651046,-0.025821653843501557,-0.036418829879297926,0.01018176705040033,0.0017211816108963992,0.0006975157579165341
machines,-0.07760042032715356,-0.09677282065928036,0.030299770119789515,0.007265064197549127,-0.012977192610181553,-0.03674337368446182,0.012366615208475382,0.04545456205659458,-0.00661454895384427,-0.01960589709047219
precision,0.011853357678342811,-0.0632750331048566,0.08356648002177948,0.08613767844480928,-0.0958966308569227,-0.1329561973509456,-0.15182394984577238,0.11800064896745942,0.010229721811360858,0.013407918463978015
facilities,0.0005976750612330352,-0.011973897025657812,0.012507812364925491,0.03200307514380251,0.003272760631338286,-0.008324417141550315,-0.02633862174726602,-0.00845046331410107,0.02615506311547867,-0.0029838710469985456
